,GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name,Description,Biotype,Chr,Start,End,Strand
37,ENSMUSG00000020614,219.3023202,4.773,0.308846836,15.45543726,6.934E-54,2.69E-51,Fam20a,"family with sequence similarity 20, member A [Source:MGI Symbol;Acc:MGI:2388266]",protein_coding,11,109669749,109722279,-1
38,ENSMUSG00000027692,287.8587931,3.585,0.232888787,15.39217237,1.847E-53,6.99E-51,Tnik,TRAF2 and NCK interacting kinase [Source:MGI Symbol;Acc:MGI:1916264],protein_coding,3,28263214,28675858,1
39,ENSMUSG00000064351,1206.313967,1.842,0.119998975,15.34898944,3.597E-53,1.33E-50,mt-Co1,mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504],protein_coding,MT,5328,6872,1
40,ENSMUSG00000035000,789.7000359,2.243,0.147626219,15.19583753,3.768E-52,1.35E-49,Dpp4,dipeptidylpeptidase 4 [Source:MGI Symbol;Acc:MGI:94919],protein_coding,2,62330073,62412231,-1
41,ENSMUSG00000022893,1065.807844,-1.884,0.124360255,-15.14947603,7.637E-52,2.68E-49,Adamts1,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1 [Source:MGI Symbol;Acc:MGI:109249]",protein_coding,16,85793827,85803113,-1
42,ENSMUSG00000021994,1310.72541,-1.756,0.118414839,-14.83295359,8.970E-50,3.07E-47,Wnt5a,"wingless-type MMTV integration site family, member 5A [Source:MGI Symbol;Acc:MGI:98958]",protein_coding,14,28504750,28527448,1
43,ENSMUSG00000028763,2292.785787,-1.576,0.106574073,-14.79170706,1.657E-49,5.54E-47,Hspg2,perlecan (heparan sulfate proteoglycan 2) [Source:MGI Symbol;Acc:MGI:96257],protein_coding,4,137468769,137570630,1
44,ENSMUSG00000039308,673.8849779,2.171,0.149963014,14.47550983,1.730E-47,5.65E-45,Ndst2,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2 [Source:MGI Symbol;Acc:MGI:97040],protein_coding,14,20723730,20734562,-1
45,ENSMUSG00000027820,5912.977022,1.641,0.114600315,14.32001944,1.641E-46,5.24E-44,Mme,membrane metallo endopeptidase [Source:MGI Symbol;Acc:MGI:97004],protein_coding,3,63241537,63386030,1
46,ENSMUSG00000020189,799.2733118,1.919,0.135149781,14.20126114,8.998E-46,2.81E-43,Osbpl8,oxysterol binding protein-like 8 [Source:MGI Symbol;Acc:MGI:2443807],protein_coding,10,111164752,111297249,1
47,ENSMUSG00000032172,1316.968588,-1.776,0.125142574,-14.19087847,1.043E-45,3.19E-43,Olfm2,olfactomedin 2 [Source:MGI Symbol;Acc:MGI:3045350],protein_coding,9,20667690,20746349,-1
48,ENSMUSG00000024661,15660.98165,1.359,0.09634687,14.10854406,3.365E-45,1.01E-42,Fth1,ferritin heavy polypeptide 1 [Source:MGI Symbol;Acc:MGI:95588],protein_coding,19,9980598,9985098,1
49,ENSMUSG00000017144,2641.826453,1.457,0.103386501,14.08824089,4.486E-45,1.32E-42,Rnd3,Rho family GTPase 3 [Source:MGI Symbol;Acc:MGI:1921444],protein_coding,2,51130438,51149111,-1
50,ENSMUSG00000024529,1238.735526,-1.710,0.124237672,-13.76536589,4.118E-43,1.18E-40,Lox,lysyl oxidase [Source:MGI Symbol;Acc:MGI:96817],protein_coding,18,52516067,52529867,-1
51,ENSMUSG00000025059,219.6184565,3.399,0.24914068,13.64322142,2.216E-42,6.25E-40,Gk,glycerol kinase [Source:MGI Symbol;Acc:MGI:106594],protein_coding,X,85701937,85776819,-1
52,ENSMUSG00000052837,511.373828,2.353,0.174857547,13.45397697,2.917E-41,8.07E-39,Junb,jun B proto-oncogene [Source:MGI Symbol;Acc:MGI:96647],protein_coding,8,84976910,84978718,-1
53,ENSMUSG00000026586,971.1420495,1.716,0.128353097,13.36760039,9.351E-41,2.54E-38,Prrx1,paired related homeobox 1 [Source:MGI Symbol;Acc:MGI:97712],protein_coding,1,163245119,163313710,-1
54,ENSMUSG00000024413,314.9830437,2.549,0.192910347,13.21513153,7.176E-40,1.91E-37,Npc1,NPC intracellular cholesterol transporter 1 [Source:MGI Symbol;Acc:MGI:1097712],protein_coding,18,12189692,12236400,-1
55,ENSMUSG00000025089,193.2247853,-5.339,0.404084026,-13.2130299,7.379E-40,1.93E-37,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1 [Source:MGI Symbol;Acc:MGI:1100842],protein_coding,19,58235604,58455909,-1
56,ENSMUSG00000020524,186.6862724,-4.079,0.308930676,-13.20324272,8.404E-40,2.16E-37,Gria1,"glutamate receptor, ionotropic, AMPA1 (alpha 1) [Source:MGI Symbol;Acc:MGI:95808]",protein_coding,11,57011387,57330244,1
57,ENSMUSG00000006800,932.2513278,-1.855,0.140646616,-13.18867786,1.020E-39,2.57E-37,Sulf2,sulfatase 2 [Source:MGI Symbol;Acc:MGI:1919293],protein_coding,2,166073089,166155663,-1
58,ENSMUSG00000025283,389.2941651,2.626,0.199999216,13.1304951,2.202E-39,5.46E-37,Sat1,spermidine/spermine N1-acetyl transferase 1 [Source:MGI Symbol;Acc:MGI:98233],protein_coding,X,155213132,155216449,-1
59,ENSMUSG00000023885,4766.633072,-1.242,0.095949314,-12.94479912,2.514E-38,6.13E-36,Thbs2,thrombospondin 2 [Source:MGI Symbol;Acc:MGI:98738],protein_coding,17,14665500,14694235,-1
60,ENSMUSG00000007655,2961.279526,-1.439,0.112493798,-12.79232041,1.810E-37,4.34E-35,Cav1,"caveolin 1, caveolae protein [Source:MGI Symbol;Acc:MGI:102709]",protein_coding,6,17306335,17341452,1
61,ENSMUSG00000019997,1332.538311,-1.846,0.145060094,-12.72466706,4.313E-37,1.02E-34,Ccn2,cellular communication network factor 2 [Source:MGI Symbol;Acc:MGI:95537],protein_coding,10,24595442,24598683,1
62,ENSMUSG00000004098,347.148886,-2.453,0.193040605,-12.70641758,5.447E-37,1.26E-34,Col5a3,"collagen, type V, alpha 3 [Source:MGI Symbol;Acc:MGI:1858212]",protein_coding,9,20770050,20815067,-1
63,ENSMUSG00000006221,314.3973036,-2.469,0.194628383,-12.68589799,7.080E-37,1.62E-34,Hspb7,"heat shock protein family, member 7 (cardiovascular) [Source:MGI Symbol;Acc:MGI:1352494]",protein_coding,4,141420779,141425311,1
64,ENSMUSG00000029189,208.9968837,3.145,0.248779708,12.64035089,1.265E-36,2.84E-34,Sel1l3,sel-1 suppressor of lin-12-like 3 (C. elegans) [Source:MGI Symbol;Acc:MGI:1916941],protein_coding,5,53107083,53213927,-1
65,ENSMUSG00000022037,318.6607992,2.483,0.196862632,12.61478745,1.750E-36,3.87E-34,Clu,clusterin [Source:MGI Symbol;Acc:MGI:88423],protein_coding,14,65968483,65981547,1
66,ENSMUSG00000033220,152.251751,5.507,0.437443129,12.58810561,2.455E-36,5.35E-34,Rac2,Rac family small GTPase 2 [Source:MGI Symbol;Acc:MGI:97846],protein_coding,15,78559167,78572783,-1
67,ENSMUSG00000001507,533.2988703,1.969,0.158585127,12.41836384,2.078E-35,4.46E-33,Itga3,integrin alpha 3 [Source:MGI Symbol;Acc:MGI:96602],protein_coding,11,95044474,95076801,-1
68,ENSMUSG00000052516,350.8850913,-2.450,0.199290075,-12.29176849,1.003E-34,2.12E-32,Robo2,roundabout guidance receptor 2 [Source:MGI Symbol;Acc:MGI:1890110],protein_coding,16,73891839,74411825,-1
69,ENSMUSG00000064339,5457.125904,1.181,0.096432556,12.248054,1.721E-34,3.59E-32,mt-Rnr2,mitochondrially encoded 16S rRNA [Source:MGI Symbol;Acc:MGI:102492],Mt_rRNA,MT,1094,2675,1
70,ENSMUSG00000029781,2200.653418,-1.259,0.103966065,-12.10595845,9.822E-34,2.02E-31,Fkbp9,FK506 binding protein 9 [Source:MGI Symbol;Acc:MGI:1350921],protein_coding,6,56832059,56879358,1
71,ENSMUSG00000001865,1482.117104,7.055,0.584037116,12.07902677,1.363E-33,2.76E-31,Cpa3,"carboxypeptidase A3, mast cell [Source:MGI Symbol;Acc:MGI:88479]",protein_coding,3,20215620,20242181,-1
72,ENSMUSG00000047562,182.9025722,3.340,0.276756588,12.06699191,1.578E-33,3.15E-31,Mmp10,matrix metallopeptidase 10 [Source:MGI Symbol;Acc:MGI:97007],protein_coding,9,7502352,7510240,1
73,ENSMUSG00000025784,1622.358541,-3.433,0.284843795,-12.05302629,1.870E-33,3.68E-31,Clec3b,"C-type lectin domain family 3, member b [Source:MGI Symbol;Acc:MGI:104540]",protein_coding,9,123150946,123157432,1
74,ENSMUSG00000000416,134.5369509,5.140,0.427592182,12.0218643,2.727E-33,5.30E-31,Cttnbp2,cortactin binding protein 2 [Source:MGI Symbol;Acc:MGI:1353467],protein_coding,6,18366478,18514843,-1
75,ENSMUSG00000030103,139.5883495,3.836,0.320447467,11.97167455,5.001E-33,9.59E-31,Bhlhe40,"basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]",protein_coding,6,108660629,108666925,1
76,ENSMUSG00000029761,2006.890001,-1.239,0.103767526,-11.93714777,7.578E-33,1.43E-30,Cald1,caldesmon 1 [Source:MGI Symbol;Acc:MGI:88250],protein_coding,6,34598500,34775473,1
77,ENSMUSG00000056481,3007.413183,-1.249,0.104989009,-11.89779096,1.215E-32,2.27E-30,Cd248,"CD248 antigen, endosialin [Source:MGI Symbol;Acc:MGI:1917695]",protein_coding,19,5068078,5070682,1
78,ENSMUSG00000034640,699.5771381,-1.984,0.16674026,-11.89651259,1.234E-32,2.27E-30,Tiparp,TCDD-inducible poly(ADP-ribose) polymerase [Source:MGI Symbol;Acc:MGI:2159210],protein_coding,3,65528410,65555518,1
79,ENSMUSG00000028581,259.0013922,7.874,0.671755268,11.72127151,9.917E-32,1.80E-29,Laptm5,lysosomal-associated protein transmembrane 5 [Source:MGI Symbol;Acc:MGI:108046],protein_coding,4,130913125,130936141,1
80,ENSMUSG00000031274,456.5379256,-1.904,0.162473953,-11.71598707,1.056E-31,1.90E-29,Col4a5,"collagen, type IV, alpha 5 [Source:MGI Symbol;Acc:MGI:88456]",protein_coding,X,141475385,141689234,1
81,ENSMUSG00000059430,1177.661423,-1.428,0.122608242,-11.64783666,2.354E-31,4.18E-29,Actg2,"actin, gamma 2, smooth muscle, enteric [Source:MGI Symbol;Acc:MGI:104589]",protein_coding,6,83512905,83536265,-1
82,ENSMUSG00000023186,157.0857935,6.452,0.55469776,11.63135776,2.855E-31,5.01E-29,Vwa5a,von Willebrand factor A domain containing 5A [Source:MGI Symbol;Acc:MGI:1915026],protein_coding,9,38718268,38743337,1
83,ENSMUSG00000002489,129.9129671,3.881,0.335398004,11.5700631,5.844E-31,1.01E-28,Tiam1,T cell lymphoma invasion and metastasis 1 [Source:MGI Symbol;Acc:MGI:103306],protein_coding,16,89787111,90143769,-1
84,ENSMUSG00000056724,158.2204689,3.195,0.27639564,11.55774592,6.746E-31,1.15E-28,Nbeal2,neurobeachin-like 2 [Source:MGI Symbol;Acc:MGI:2448554],protein_coding,9,110624789,110654161,-1
85,ENSMUSG00000043089,128.6005459,5.587,0.483969324,11.54473414,7.848E-31,1.33E-28,Mmp1a,matrix metallopeptidase 1a (interstitial collagenase) [Source:MGI Symbol;Acc:MGI:1933846],polymorphic_pseudogene,9,7464141,7476869,1
86,ENSMUSG00000052889,123.9576988,5.265,0.456846078,11.52486504,9.887E-31,1.65E-28,Prkcb,"protein kinase C, beta [Source:MGI Symbol;Acc:MGI:97596]",protein_coding,7,122288751,122634402,1
87,ENSMUSG00000034488,250.4856942,-2.516,0.218331769,-11.52264028,1.015E-30,1.68E-28,Edil3,EGF-like repeats and discoidin I-like domains 3 [Source:MGI Symbol;Acc:MGI:1329025],protein_coding,13,88821472,89323223,1
88,ENSMUSG00000032340,831.848694,1.753,0.152491504,11.49411651,1.412E-30,2.31E-28,Neo1,neogenin [Source:MGI Symbol;Acc:MGI:1097159],protein_coding,9,58874687,59036441,-1
89,ENSMUSG00000022454,187.756882,7.126,0.622164219,11.45417858,2.241E-30,3.62E-28,Nell2,NEL-like 2 [Source:MGI Symbol;Acc:MGI:1858510],protein_coding,15,95075230,95528559,-1
90,ENSMUSG00000051855,144.5738949,-4.091,0.358942514,-11.39770631,4.293E-30,6.86E-28,Mest,mesoderm specific transcript [Source:MGI Symbol;Acc:MGI:96968],protein_coding,6,30723547,30748465,1
91,ENSMUSG00000021186,1495.9378,-1.240,0.109603209,-11.31159472,1.150E-29,1.80E-27,Fbln5,fibulin 5 [Source:MGI Symbol;Acc:MGI:1346091],protein_coding,12,101746565,101819055,-1
92,ENSMUSG00000016087,218.9542501,2.519,0.222683254,11.31146302,1.152E-29,1.80E-27,Fli1,Friend leukemia integration 1 [Source:MGI Symbol;Acc:MGI:95554],protein_coding,9,32422204,32542861,-1
93,ENSMUSG00000015837,2132.384966,1.274,0.113238534,11.25269118,2.246E-29,3.47E-27,Sqstm1,sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931],protein_coding,11,50199366,50210827,-1
94,ENSMUSG00000050953,1252.779123,-1.286,0.114383943,-11.24456056,2.463E-29,3.77E-27,Gja1,"gap junction protein, alpha 1 [Source:MGI Symbol;Acc:MGI:95713]",protein_coding,10,56377330,56402513,1
95,ENSMUSG00000056737,535.7805745,1.720,0.153335782,11.22043167,3.237E-29,4.90E-27,Capg,"capping protein (actin filament), gelsolin-like [Source:MGI Symbol;Acc:MGI:1098259]",protein_coding,6,72544391,72562983,1
96,ENSMUSG00000028364,10972.80614,2.462,0.220313311,11.17708559,5.280E-29,7.91E-27,Tnc,tenascin C [Source:MGI Symbol;Acc:MGI:101922],protein_coding,4,63959785,64047015,-1
97,ENSMUSG00000041577,152.6689098,-3.709,0.332855707,-11.14281661,7.762E-29,1.15E-26,Prelp,proline arginine-rich end leucine-rich repeat [Source:MGI Symbol;Acc:MGI:2151110],protein_coding,1,133910304,133921414,-1
98,ENSMUSG00000033327,468.8022393,-3.951,0.356512788,-11.0832484,1.513E-28,2.22E-26,Tnxb,tenascin XB [Source:MGI Symbol;Acc:MGI:1932137],protein_coding,17,34660457,34719815,1
99,ENSMUSG00000068196,1225.811019,-1.584,0.144198623,-10.98171938,4.679E-28,6.80E-26,Col8a1,"collagen, type VIII, alpha 1 [Source:MGI Symbol;Acc:MGI:88463]",protein_coding,16,57624258,57754737,-1
100,ENSMUSG00000039115,113.5950037,5.524,0.504018216,10.96089572,5.891E-28,8.47E-26,Itga9,integrin alpha 9 [Source:MGI Symbol;Acc:MGI:104756],protein_coding,9,118606690,118901003,1
101,ENSMUSG00000042834,2482.913842,-1.262,0.115594656,-10.91445854,9.831E-28,1.40E-25,Nrep,neuronal regeneration related protein [Source:MGI Symbol;Acc:MGI:99444],protein_coding,18,33437019,33464029,-1
102,ENSMUSG00000028494,488.1546137,1.823,0.167588415,10.87699366,1.484E-27,2.09E-25,Plin2,perilipin 2 [Source:MGI Symbol;Acc:MGI:87920],protein_coding,4,86648386,86670060,-1
103,ENSMUSG00000031530,104.6206966,4.941,0.455652155,10.84470131,2.113E-27,2.95E-25,Dusp4,dual specificity phosphatase 4 [Source:MGI Symbol;Acc:MGI:2442191],protein_coding,8,34807297,34819894,1
104,ENSMUSG00000027004,114.4154442,3.746,0.345596611,10.83786606,2.277E-27,3.15E-25,Frzb,frizzled-related protein [Source:MGI Symbol;Acc:MGI:892032],protein_coding,2,80411970,80447625,-1
105,ENSMUSG00000034463,562.1180083,1.778,0.164338054,10.81905777,2.796E-27,3.83E-25,Scara3,"scavenger receptor class A, member 3 [Source:MGI Symbol;Acc:MGI:2444418]",protein_coding,14,65919394,65953935,-1
106,ENSMUSG00000040147,150.1267965,6.807,0.633513188,10.74530772,6.235E-27,8.46E-25,Maob,monoamine oxidase B [Source:MGI Symbol;Acc:MGI:96916],protein_coding,X,16709282,16817366,-1
107,ENSMUSG00000024696,230.8615113,2.792,0.2600619,10.7353769,6.944E-27,9.31E-25,Lpxn,leupaxin [Source:MGI Symbol;Acc:MGI:2147677],protein_coding,19,12796193,12833807,1
108,ENSMUSG00000091313,661.3532787,1.540,0.143432064,10.73471982,6.993E-27,9.31E-25,Fth-ps2,"ferritin heavy chain, pseudogene 2 [Source:MGI Symbol;Acc:MGI:104594]",processed_pseudogene,6,39653450,39653965,-1
109,ENSMUSG00000066406,298.2341046,2.074,0.195903788,10.58621832,3.453E-26,4.55E-24,Akap13,A kinase (PRKA) anchor protein 13 [Source:MGI Symbol;Acc:MGI:2676556],protein_coding,7,75455534,75754609,1
110,ENSMUSG00000028412,1248.710762,1.377,0.131131415,10.50160679,8.492E-26,1.11E-23,Slc44a1,"solute carrier family 44, member 1 [Source:MGI Symbol;Acc:MGI:2140592]",protein_coding,4,53440413,53622478,1
111,ENSMUSG00000031740,17446.06164,1.059,0.101861381,10.39846715,2.520E-25,3.26E-23,Mmp2,matrix metallopeptidase 2 [Source:MGI Symbol;Acc:MGI:97009],protein_coding,8,92827291,92853420,1
112,ENSMUSG00000024747,254.7926748,-2.446,0.235976388,-10.36623147,3.532E-25,4.53E-23,Aldh1a7,"aldehyde dehydrogenase family 1, subfamily A7 [Source:MGI Symbol;Acc:MGI:1347050]",protein_coding,19,20692953,20727562,-1
113,ENSMUSG00000032231,9570.927723,-1.016,0.098017668,-10.36108357,3.727E-25,4.74E-23,Anxa2,annexin A2 [Source:MGI Symbol;Acc:MGI:88246],protein_coding,9,69453620,69491795,1
114,ENSMUSG00000025555,1213.534561,-1.190,0.115012726,-10.34820793,4.264E-25,5.38E-23,Farp1,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived) [Source:MGI Symbol;Acc:MGI:2446173]",protein_coding,14,121035200,121283744,1
115,ENSMUSG00000001552,178.0249912,2.698,0.261333379,10.32241659,5.580E-25,6.98E-23,Jup,junction plakoglobin [Source:MGI Symbol;Acc:MGI:96650],protein_coding,11,100368958,100397763,-1
116,ENSMUSG00000104899,220.4848709,2.367,0.229573747,10.31104775,6.281E-25,7.78E-23,Gm43855,predicted gene 43855 [Source:MGI Symbol;Acc:MGI:5663992],processed_pseudogene,5,104987237,104987743,-1
117,ENSMUSG00000031012,601.2477079,-1.486,0.144233327,-10.29979538,7.061E-25,8.68E-23,Cask,calcium/calmodulin-dependent serine protein kinase (MAGUK family) [Source:MGI Symbol;Acc:MGI:1309489],protein_coding,X,13517080,13851367,-1
118,ENSMUSG00000021676,192.7991029,7.767,0.754561603,10.2929532,7.581E-25,9.24E-23,Iqgap2,IQ motif containing GTPase activating protein 2 [Source:MGI Symbol;Acc:MGI:2449975],protein_coding,13,95627174,95892483,-1
119,ENSMUSG00000054871,100.2690496,4.240,0.413796227,10.24634884,1.229E-24,1.48E-22,Tmem158,transmembrane protein 158 [Source:MGI Symbol;Acc:MGI:1919559],protein_coding,9,123259053,123260764,-1
120,ENSMUSG00000021025,389.3306431,1.696,0.166335724,10.19450157,2.098E-24,2.51E-22,Nfkbia,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha [Source:MGI Symbol;Acc:MGI:104741]",protein_coding,12,55489410,55492647,-1
121,ENSMUSG00000031278,685.2091863,1.484,0.146278021,10.14651347,3.434E-24,4.08E-22,Acsl4,acyl-CoA synthetase long-chain family member 4 [Source:MGI Symbol;Acc:MGI:1354713],protein_coding,X,142317993,142390535,-1
